title,comment_text,author_id,votes_up,votes_down,votes_count,votes_point,comment_count,parent_id,comment_thread_id,course_id,text_type,update_timestamp
,"Hi, for question 1 : We have given the winning probability and losing probability is 1- P(Winning) .  Winning is 1 and losing is -1. Mean for 1 Game is winning - Losing probability and then you can calculate the 10,000 games mean.

![q1][1]

Question 3 : you have total of 500 potential customers and you have percentage of buying the candies i.e. 70%, 15%, 10% and 5%. Using this you can calculate the number of customers using the potential customers. Customer by 0,1,2,3 candies and calculate the number of candies sold. Now, calculate the daily mean and variance and then calculate for 500 customers.

  [1]: https://edxuploads.s3.amazonaws.com/15093734685464278.png",12639383,1,0,1,1,,,59f4887a50ef220a0e002976,Microsoft+DAT222x+4T2017,Comment,2017-10-30T14:25:39.308Z
,"Hi, you have total of 500 potential customers and you have percentage of buying the candies i.e. 70%, 15%, 10% and 5%. Using this you can calculate the number of customers using the potential customers. Customer by 0,1,2,3 candies and calculate the number of candies sold. Now, calculate the daily mean and variance and then calculate for 500 customers.",12639383,0,0,0,0,,59f5c29b50ef2209de0029ce,59f0c2ab4ed74909c00026f7,Microsoft+DAT222x+4T2017,Comment,2017-10-30T14:17:53.148Z
,"Hi, you need to know the outcomes to calculate the probability, as you first need to know the sample space first.",12639383,0,0,0,0,,,59f627a94ed74909bd0029ec,Microsoft+DAT222x+4T2017,Comment,2017-10-30T14:02:25.739Z
,"Hi, these both questions are based on Bayes Rule. You have identify the problem itself that what you actually probabilities have and using them how you find the solution and what formulas you implement. If you check these two questions, you have the probabilities and likelihoods as also explained in the lecture using example, so use the baes Rule to get the answers.",12639383,0,0,0,0,,,59f6aeffbc04a609dd002a52,Microsoft+DAT222x+4T2017,Comment,2017-10-30T13:52:39.175Z
,Great!,12639383,0,0,0,0,,59f450f74ed74909c7002979,59f35f604ed74909d0002890,Microsoft+DAT222x+4T2017,Comment,2017-10-30T13:49:32.732Z
,"Hej LindaHV,
Hi Linda
I Agree with your method for CAGR.
But Average to me is the function Average, other wise it's CAGR.

A little confusion here.




",12693886,0,0,0,0,,,59ecec2150ef2209ff0024fb,Microsoft+DAT222x+4T2017,Comment,2017-10-23T13:21:02.936Z
,"Hi MatthewLakin, make sure you are using the right values as it is 60 minutes . You are close to the answer. If problem persist, feel free to discuss here.",12639383,0,0,0,0,,59e95837bc04a609dd00226e,59e8a8bf4ed74909b800212d,Microsoft+DAT222x+4T2017,Comment,2017-10-23T12:05:22.514Z
,"Hi, I am sharing the charts that you are not able to get in Excel 2013. Hope that helps you in answering the questions.

![1][1]

![2][2]


  [1]: https://edxuploads.s3.amazonaws.com/15087598297103002.png
  [2]: https://edxuploads.s3.amazonaws.com/15087598406508628.png",12639383,0,0,0,0,,,59ea6a1f4ed74909b5002361,Microsoft+DAT222x+4T2017,Comment,2017-10-23T11:57:28.531Z
,"Hi Usha, welcome to the course. Happy learning.",12639383,0,0,0,0,,,59eada20bc04a609f000221a,Microsoft+DAT222x+4T2017,Comment,2017-10-23T11:52:18.145Z
,"Hi Jose, welcome to the course. happy learning.",12639383,0,0,0,0,,,59eaf7ef4ed74909d0002381,Microsoft+DAT222x+4T2017,Comment,2017-10-23T11:51:50.244Z
